"00086","白山神社","はくさんじんじゃ","見る","山形県","西村山郡朝日町","大谷"
"00087","芭蕉句碑","ばしょうくひ","見る","山形県","西村山郡朝日町","大沼浮島神社"
"00088","朝日町ワイン城","あさひまちわいんじょう","遊ぶ","山形県","西村山郡朝日町","大字大谷字高野"
"00089","朝日嶽神社","あさひだけじんじゃ","見る","山形県","西村山郡朝日町","朝日連峰鳥原山"
"00090","Asahi自然観スノーパーク","あさひしぜんかんすのーぱーく","遊ぶ","山形県","西村山郡朝日町","大字白倉745-1"
"00091","Asahi自然観スキー場開き","あさひしぜんかんすきーじょうびらき","イベント","山形県","西村山郡朝日町","白倉"
"00092","Asahi自然観キャンプ場","あさひしぜんかんきゃんぷじょう","遊ぶ","山形県","西村山郡朝日町","白倉７４５-１"
"00093","朝日鉱泉ナチュラリストの家","あさひこうせんなちゅらりすとのいえ","泊まる","山形県","西村山郡朝日町","立木番外地"
"00094","朝日川渓流まつり","あさひがわけいりゅうまつり","イベント","山形県","西村山郡朝日町","立木"
"00095","坊ケ峯オリエンテーリングコース","ぼうがみねおりえんてーりんぐこーす","遊ぶ","山梨県","笛吹市","境川町"
"00096","すずらん群生地散策道","すずらんぐんせいちさんさくどう","遊ぶ","山梨県","笛吹市","芦川町"
"00097","黒岳","くろだけ","見る","山梨県","笛吹市","芦川町"
"00098","御坂峠～黒岳ハイキングコース","みさかとうげ～くろだけはいきんぐこーす","遊ぶ","山梨県","笛吹市","御坂町"
"00099","兜山ハイキングコース","かぶとやまはいきんぐこーす","遊ぶ","山梨県","笛吹市","春日居町"
"00100","オートキャンプすずらん","おーときゃんぷすずらん","遊ぶ","山梨県","笛吹市","芦川町上芦川1808"
"00101","芦川オートキャンプ場","あしがわおーときゃんぷじょう","遊ぶ","山梨県","笛吹市","芦川町中芦川"
"00102","八代農産物直売所グリーンファーム","やしろのうさんぶつちょくばいじょぐりーんふぁーむ","遊ぶ","山梨県","笛吹市","八代町南4632-1"
"00103","みさかの湯","みさかのゆ","遊ぶ","山梨県","笛吹市","御坂町成田2200"
"00104","さかいがわ農産物直売所","さかいがわのうさんぶつちょくばいじょ","遊ぶ","山梨県","笛吹市","境川町石橋702"
"00105","春日居スポーツ広場","かすがいすぽーつひろば","遊ぶ","山梨県","笛吹市","春日居町鎮目1323"
"00106","春日居町福祉会館","かすがいちょうふくしかいかん","遊ぶ","山梨県","笛吹市","春日居町寺本142-1"
"00107","山梨岡神社太々神楽","やまなしおかじんじゃだいだいかぐら","イベント","山梨県","笛吹市","春日居町鎮目1696"
"00108","美和神社太々神楽","みわじんじゃだいだいかぐら","イベント","山梨県","笛吹市","御坂町二之宮1450"
"00109","厄払い湯立祭り","やくばらいゆだてまつり","イベント","山梨県","笛吹市","御坂町二之宮1450"
"00110","二子塚祭典","ふたごづかさいてん","イベント","山梨県","笛吹市","八代町南747"
"00111","笛吹市桃の里マラソン大会","ふえふきしもものさとまらそんたいかい","イベント","山梨県","笛吹市","一宮町"
"00112","笛吹市夏祭り","ふえふきしなつまつり","イベント","山梨県","笛吹市","笛吹川河川敷など"
"00113","すずらんの里祭り","すずらんのさとまつり","イベント","山梨県","笛吹市","芦川町"
"00114","甲斐いちのみや大文字焼き","かいいちのみやだいもんじやき","イベント","山梨県","笛吹市","一宮町末木921-1　いちのみや桃の里ふれあい文化館（イベント会場）"
"00115","大神幸祭","おみゆきさい","イベント","山梨県","笛吹市","一宮町一ノ宮1684"
